Sentence|Question
In the years since the disclosures by Edward J. Snowden, the former intelligence contractor who released a trove of details on United States government surveillance tactics, some tech companies have been trying to educate members of Congress about online privacy practices.|In the years since the disclosures by Edward J. Snowden, the former intelligence contractor who released a trove of details on __________, some tech companies have been trying to educate members of Congress about online privacy practices.
On Monday, Apple got good news that could help soothe lingering tech industry doubts about its defense in the San Bernardino case.|On Monday, __________ got good news that could help soothe lingering tech industry doubts about its defense in the San Bernardino case.
Dropbox, Facebook, Google, Microsoft, Snapchat and Yahoo are among the tech companies expected to sign on to briefs in the case, according to people with knowledge of the plans who spoke on the condition of anonymity.|Dropbox, __________, Google, Microsoft, Snapchat and Yahoo are among the tech companies expected to sign on to briefs in the case, according to people with knowledge of the plans who spoke on the condition of anonymity.
Bruce Sewell, Apple’s general counsel, said in a statement, “We are humbled by the outpouring of support we’ve received from our customers, our colleagues in business, nonprofit organizations, the security community and many others.” He added, “The groups filing briefs with the court understand, as more and more people have come to realize, that this case is not about one phone — it is about the future and how we protect our safety and our privacy.”|Bruce Sewell, Apple’s general counsel, said in a statement, “We are humbled by the outpouring of support we’ve received from our customers, our colleagues in business, nonprofit organizations, the security community and many others.” He added, __________ filing briefs with the court understand, as more and more people have come to realize, that this case is not about one phone — it is about the future and how we protect our safety and our privacy.”
It is a remarkable moment for the technology industry, with many different companies and organizations rallying around a single company — Apple — in a major legal case against the United States government over privacy and security.|It is a remarkable moment for the technology industry, with many different companies and organizations rallying around a single company __________ in a major legal case against the United States government over privacy and security.
For Mr. Rabois and others, the circumstances working against Apple include the iPhone’s connection to a terrorist attack that left 14 people dead, rather than to a less highly charged crime.|For Mr. Rabois and others, the circumstances working against __________ include the iPhone’s connection to a terrorist attack that left 14 people dead, rather than to a less highly charged crime.
Last week in an interview on CBS, Mr. Levchin said his views on the case over the previous several days had shifted from a “clear-cut, black-and-white” stance of helping the F.B.I.|Last week in an interview on CBS, __________ said his views on the case over the previous several days had shifted from a “clear-cut, black-and-white” stance of helping the F.B.I.
The proposed commission, the bill for which was introduced on Monday, would be led by the House Homeland Security Committee chairman Michael McCaul, Republican of Texas, and Senator Mark Warner, Democrat of Virginia.|The proposed commission, the bill for which was introduced on Monday, would be led by the House Homeland Security Committee chairman Michael McCaul, __________ of Texas, and Senator Mark Warner, Democrat of Virginia.
Yet whatever doubts Apple’s allies voiced privately, they were in the end insufficient to keep a large number of big companies from signing on to the cause.|Yet whatever doubts __________ voiced privately, they were in the end insufficient to keep a large number of big companies from signing on to the cause.
For many tech companies that were initially concerned by Apple’s opposition to opening up the iPhone in the San Bernardino case, the worries centered not only on whether this was the right case for challenging the government but also on how public perceptions of the fight might reflect on the rest of the industry, according to tech executives involved in the discussions, who spoke on the condition of anonymity.|For many tech companies that were initially concerned by __________ to opening up the iPhone in the San Bernardino case, the worries centered not only on whether this was the right case for challenging the government but also on how public perceptions of the fight might reflect on the rest of the industry, according to tech executives involved in the discussions, who spoke on the condition of anonymity.
In the years since the disclosures by Edward J. Snowden, the former intelligence contractor who released a trove of details on United States government surveillance tactics, some tech companies have been trying to educate members of Congress about online privacy practices.|In the years since the disclosures by Edward J. Snowden, the former intelligence contractor who released a trove of details on United States government surveillance tactics, some tech companies have been trying to educate members of __________ about online privacy practices.
About 40 companies and organizations are expected to file court briefs on Thursday backing Apple as it fights a judge’s order to help law enforcement break into an iPhone used by a gunman in the San Bernardino, Calif., terrorist attack last year.|About 40 companies and organizations are expected to file court briefs on Thursday backing Apple as it fights a judge’s order to help law enforcement break into an iPhone used by a gunman in __________, Calif., terrorist attack last year.
For Mr. Rabois and others, the circumstances working against Apple include the iPhone’s connection to a terrorist attack that left 14 people dead, rather than to a less highly charged crime.|For __________ and others, the circumstances working against Apple include the iPhone’s connection to a terrorist attack that left 14 people dead, rather than to a less highly charged crime.
The proposed commission, the bill for which was introduced on Monday, would be led by the House Homeland Security Committee chairman Michael McCaul, Republican of Texas, and Senator Mark Warner, Democrat of Virginia.|The proposed commission, the bill for which was introduced on __________, would be led by the House Homeland Security Committee chairman Michael McCaul, Republican of Texas, and Senator Mark Warner, Democrat of Virginia.
Silicon Valley’s arc in supporting Apple — an initial flurry of concerns followed by an eventual coming around to the idea — is epitomized by Max Levchin, the co-founder of PayPal and chief executive of Affirm, an online financial services firm.|Silicon Valley’s arc in supporting Apple — an initial flurry of concerns followed by an eventual coming around to the idea — is epitomized by __________, the co-founder of PayPal and chief executive of Affirm, an online financial services firm.
On Monday, Apple got good news that could help soothe lingering tech industry doubts about its defense in the San Bernardino case.|On Monday, Apple got good news that could help soothe lingering tech industry doubts about its defense in __________.
Silicon Valley’s arc in supporting Apple — an initial flurry of concerns followed by an eventual coming around to the idea — is epitomized by Max Levchin, the co-founder of PayPal and chief executive of Affirm, an online financial services firm.|Silicon Valley’s arc in supporting __________ an initial flurry of concerns followed by an eventual coming around to the idea — is epitomized by Max Levchin, the co-founder of PayPal and chief executive of Affirm, an online financial services firm.
A report by Pew Research Center last week said 51 percent of Americans believed that Apple should unlock the iPhone to assist the Federal Bureau of Investigation in the case, while only 38 percent found Apple in the right.|A report by Pew Research Center last week said 51 percent of Americans believed that Apple should unlock the iPhone to assist __________ of Investigation in the case, while only 38 percent found Apple in the right.
Others were also anxious that Apple’s defiance of the government could lead to congressional efforts to reshape, in ways unfavorable to the tech industry, the Electronic Communications Privacy Act, which privacy advocates and tech companies have long claimed needs an overhaul.|Others were also anxious that Apple’s defiance of the government could lead to congressional efforts to reshape, in ways unfavorable to the tech industry, __________, which privacy advocates and tech companies have long claimed needs an overhaul.
The proposed commission, the bill for which was introduced on Monday, would be led by the House Homeland Security Committee chairman Michael McCaul, Republican of Texas, and Senator Mark Warner, Democrat of Virginia.|The proposed commission, the bill for which was introduced on Monday, would be led by the House Homeland Security Committee chairman Michael McCaul, Republican of Texas, and __________, Democrat of Virginia.
Keith Rabois, a venture capitalist with the firm Khosla Ventures, said he was a strong believer in privacy and encryption — “all the normal Silicon Valley views, ” he said — but worried that Apple could lose the case, setting a legal precedent that could force other companies to compromise the security of their products for law enforcement.|Keith Rabois, a venture capitalist with the firm Khosla Ventures, said he was a strong believer in privacy and encryption — “all __________, ” he said — but worried that Apple could lose the case, setting a legal precedent that could force other companies to compromise the security of their products for law enforcement.
“Given the years of companies’ reluctance to be at the barricades around intelligence discussions, this is significant, ” said Jules Polonetsky, chief executive of the Future of Privacy Forum, an industry-financed think tank in Washington.|“Given the years of companies’ reluctance to be at the barricades around intelligence discussions, this is significant, ” said Jules Polonetsky, chief executive of the Future of __________, an industry-financed think tank in Washington.
Keith Rabois, a venture capitalist with the firm Khosla Ventures, said he was a strong believer in privacy and encryption — “all the normal Silicon Valley views, ” he said — but worried that Apple could lose the case, setting a legal precedent that could force other companies to compromise the security of their products for law enforcement.|Keith Rabois, a venture capitalist with the firm Khosla Ventures, said he was a strong believer in privacy and encryption — “all the normal Silicon Valley views, ” he said — but worried that __________ could lose the case, setting a legal precedent that could force other companies to compromise the security of their products for law enforcement.
A report by Pew Research Center last week said 51 percent of Americans believed that Apple should unlock the iPhone to assist the Federal Bureau of Investigation in the case, while only 38 percent found Apple in the right.|A report by Pew Research Center last week said 51 percent of Americans believed that Apple should unlock the iPhone to assist the Federal Bureau of Investigation in the case, while only 38 percent found __________ in the right.
Dropbox, Facebook, Google, Microsoft, Snapchat and Yahoo are among the tech companies expected to sign on to briefs in the case, according to people with knowledge of the plans who spoke on the condition of anonymity.|__________, Facebook, Google, Microsoft, Snapchat and Yahoo are among the tech companies expected to sign on to briefs in the case, according to people with knowledge of the plans who spoke on the condition of anonymity.
Others were also anxious that Apple’s defiance of the government could lead to congressional efforts to reshape, in ways unfavorable to the tech industry, the Electronic Communications Privacy Act, which privacy advocates and tech companies have long claimed needs an overhaul.|Others were also anxious that __________ of the government could lead to congressional efforts to reshape, in ways unfavorable to the tech industry, the Electronic Communications Privacy Act, which privacy advocates and tech companies have long claimed needs an overhaul.
Several feared the showdown with the government was too risky and could have far-reaching implications for the tech industry if Apple lost.|Several feared the showdown with the government was too risky and could have far-reaching implications for the tech industry if __________ lost.
Dropbox’s general counsel, Ramsey Homsany, said in a statement, “We stand against the use of broad authorities to undermine the security of a company’s products.”|__________ general counsel, Ramsey Homsany, said in a statement, “We stand against the use of broad authorities to undermine the security of a company’s products.”
Dropbox, Facebook, Google, Microsoft, Snapchat and Yahoo are among the tech companies expected to sign on to briefs in the case, according to people with knowledge of the plans who spoke on the condition of anonymity.|Dropbox, Facebook, Google, __________, Snapchat and Yahoo are among the tech companies expected to sign on to briefs in the case, according to people with knowledge of the plans who spoke on the condition of anonymity.
Yet behind the scenes, it took time for some of the tech companies to make the decision to support Apple.|Yet behind the scenes, it took time for some of the tech companies to make the decision to support __________.
The show of support — including briefs filed on Wednesday by groups like the American Civil Liberties Union and Access Now — is unusual in its breadth, showing that many in Silicon Valley believe that it could have profound implications on the trustworthiness of their products.|The show of support — including briefs filed on Wednesday by groups like __________ Now — is unusual in its breadth, showing that many in Silicon Valley believe that it could have profound implications on the trustworthiness of their products.
Keith Rabois, a venture capitalist with the firm Khosla Ventures, said he was a strong believer in privacy and encryption — “all the normal Silicon Valley views, ” he said — but worried that Apple could lose the case, setting a legal precedent that could force other companies to compromise the security of their products for law enforcement.|Keith Rabois, a venture capitalist with the firm __________, said he was a strong believer in privacy and encryption — “all the normal Silicon Valley views, ” he said — but worried that Apple could lose the case, setting a legal precedent that could force other companies to compromise the security of their products for law enforcement.
“In my view, this is the wrong case to fight, ” Mr. Rabois said.|“In my view, this is the wrong case to fight, ” __________ said.
Apple’s defenders said the company did not pick this fight — the government did.|__________ said the company did not pick this fight — the government did.
A report by Pew Research Center last week said 51 percent of Americans believed that Apple should unlock the iPhone to assist the Federal Bureau of Investigation in the case, while only 38 percent found Apple in the right.|A report by Pew Research Center last week said 51 percent of __________ believed that Apple should unlock the iPhone to assist the Federal Bureau of Investigation in the case, while only 38 percent found Apple in the right.
On Monday, Apple got good news that could help soothe lingering tech industry doubts about its defense in the San Bernardino case.|On __________, Apple got good news that could help soothe lingering tech industry doubts about its defense in the San Bernardino case.
A federal magistrate judge in a separate drug case in New York ruled against a government request to extract data from an iPhone, a decision that could influence the San Bernardino case.|A federal magistrate judge in a separate drug case in __________ ruled against a government request to extract data from an iPhone, a decision that could influence the San Bernardino case.
A report by Pew Research Center last week said 51 percent of Americans believed that Apple should unlock the iPhone to assist the Federal Bureau of Investigation in the case, while only 38 percent found Apple in the right.|A report by Pew Research Center last week said 51 percent of Americans believed that Apple should unlock the iPhone to assist the Federal Bureau of __________ in the case, while only 38 percent found Apple in the right.
About 40 companies and organizations are expected to file court briefs on Thursday backing Apple as it fights a judge’s order to help law enforcement break into an iPhone used by a gunman in the San Bernardino, Calif., terrorist attack last year.|About 40 companies and organizations are expected to file court briefs on Thursday backing Apple as it fights a judge’s order to help law enforcement break into an iPhone used by a gunman in the San Bernardino, __________, terrorist attack last year.
The show of support — including briefs filed on Wednesday by groups like the American Civil Liberties Union and Access Now — is unusual in its breadth, showing that many in Silicon Valley believe that it could have profound implications on the trustworthiness of their products.|The show of support — including briefs filed on Wednesday by groups like the American Civil Liberties Union and Access Now __________ is unusual in its breadth, showing that many in Silicon Valley believe that it could have profound implications on the trustworthiness of their products.
It is a remarkable moment for the technology industry, with many different companies and organizations rallying around a single company — Apple — in a major legal case against the United States government over privacy and security.|It is a remarkable moment for the technology industry, with many different companies and organizations rallying around a single company — Apple — in a major legal case against __________ over privacy and security.
On Tuesday, Apple filed its formal objection to the government order to open up the iPhone, citing the reasons set forth in a previously filed motion.|On Tuesday, __________ filed its formal objection to the government order to open up the iPhone, citing the reasons set forth in a previously filed motion.
Furthermore, the iPhone was owned by the employer of the gunman, Syed Rizwan Farook, which consented to a search of the device.|Furthermore, the iPhone was owned by the employer of the gunman, __________, which consented to a search of the device.
Silicon Valley’s arc in supporting Apple — an initial flurry of concerns followed by an eventual coming around to the idea — is epitomized by Max Levchin, the co-founder of PayPal and chief executive of Affirm, an online financial services firm.|__________ in supporting Apple — an initial flurry of concerns followed by an eventual coming around to the idea — is epitomized by Max Levchin, the co-founder of PayPal and chief executive of Affirm, an online financial services firm.
Dropbox, Facebook, Google, Microsoft, Snapchat and Yahoo are among the tech companies expected to sign on to briefs in the case, according to people with knowledge of the plans who spoke on the condition of anonymity.|Dropbox, Facebook, Google, Microsoft, __________ are among the tech companies expected to sign on to briefs in the case, according to people with knowledge of the plans who spoke on the condition of anonymity.
A federal magistrate judge in a separate drug case in New York ruled against a government request to extract data from an iPhone, a decision that could influence the San Bernardino case.|A federal magistrate judge in a separate drug case in New York ruled against a government request to extract data from an iPhone, a decision that could influence __________.
The proposed commission, the bill for which was introduced on Monday, would be led by the House Homeland Security Committee chairman Michael McCaul, Republican of Texas, and Senator Mark Warner, Democrat of Virginia.|The proposed commission, the bill for which was introduced on Monday, would be led by __________, Republican of Texas, and Senator Mark Warner, Democrat of Virginia.
Bruce Sewell, Apple’s general counsel, said in a statement, “We are humbled by the outpouring of support we’ve received from our customers, our colleagues in business, nonprofit organizations, the security community and many others.” He added, “The groups filing briefs with the court understand, as more and more people have come to realize, that this case is not about one phone — it is about the future and how we protect our safety and our privacy.”|Bruce Sewell, __________ general counsel, said in a statement, “We are humbled by the outpouring of support we’ve received from our customers, our colleagues in business, nonprofit organizations, the security community and many others.” He added, “The groups filing briefs with the court understand, as more and more people have come to realize, that this case is not about one phone — it is about the future and how we protect our safety and our privacy.”
Still, several executives at tech companies supporting Apple said they were worried that Apple had picked a fight that could end up backfiring on the rest of the industry.|Still, several executives at tech companies supporting __________ said they were worried that Apple had picked a fight that could end up backfiring on the rest of the industry.
The proposed commission, the bill for which was introduced on Monday, would be led by the House Homeland Security Committee chairman Michael McCaul, Republican of Texas, and Senator Mark Warner, Democrat of Virginia.|The proposed commission, the bill for which was introduced on Monday, would be led by the House Homeland Security Committee chairman Michael McCaul, Republican of Texas, and Senator Mark Warner, __________ of Virginia.
Dropbox, Facebook, Google, Microsoft, Snapchat and Yahoo are among the tech companies expected to sign on to briefs in the case, according to people with knowledge of the plans who spoke on the condition of anonymity.|Dropbox, Facebook, __________, Microsoft, Snapchat and Yahoo are among the tech companies expected to sign on to briefs in the case, according to people with knowledge of the plans who spoke on the condition of anonymity.
All of the executives asked to remain anonymous because their deliberations were private, but their views are shared among others in Silicon Valley.|All of the executives asked to remain anonymous because their deliberations were private, but their views are shared among others in __________.
“Given the years of companies’ reluctance to be at the barricades around intelligence discussions, this is significant, ” said Jules Polonetsky, chief executive of the Future of Privacy Forum, an industry-financed think tank in Washington.|“Given the years of companies’ reluctance to be at the barricades around intelligence discussions, this is significant, ” said __________, chief executive of the Future of Privacy Forum, an industry-financed think tank in Washington.
The show of support — including briefs filed on Wednesday by groups like the American Civil Liberties Union and Access Now — is unusual in its breadth, showing that many in Silicon Valley believe that it could have profound implications on the trustworthiness of their products.|The show of support — including briefs filed on Wednesday by groups like the American Civil Liberties Union and Access Now — is unusual in its breadth, showing that many in __________ believe that it could have profound implications on the trustworthiness of their products.
On Tuesday, Apple filed its formal objection to the government order to open up the iPhone, citing the reasons set forth in a previously filed motion.|On __________, Apple filed its formal objection to the government order to open up the iPhone, citing the reasons set forth in a previously filed motion.
